cat,label,review
洗发水,1,不错！618买的！好多瓶！才用了两瓶清扬的钱太划算了！赞！
衣服,1,弹性很好，男朋友很喜欢。物流很快，没有什特别的味道，卖家服务态度也不错，绝对好评。以后经常来这家店买。
平板,1,简直就是一个大手机，漂亮，买给老婆的，很喜欢
平板,0,售后服务太差，欠发的东西都两个月了，居然还没有发，我不问，连一个消息都不给!!!!
平板,1,不错，最爽的是有两个音箱可以听出了左右。
洗发水,0,还没用，京东现在送货速度变好慢了，体验感骤降！！而且快递员态度非常差！！常年网购，第一次碰到态度这么差的快递员，真是醉了！！我下单的时候是说要刷卡，结果到了说pos机坏了，要我给现金，我说直接*转账吧，答应了又反悔非要现金，态度非常不耐烦，好吧给现金了，还有几毛钱零钱直接不找了，钱往兜里一揣，说没零钱。几毛钱真心不算个事，可是这年头讲的就是购物体验，不求你客客气气，好歹态度平稳点吧。这一次必须要差评！！！
蒙牛,1,自从知道我最喜欢的牛奶是蒙牛的 就自暴自弃了
洗发水,1,快递很快，服务态度好，价格实惠，还有赠品，洗了之后清香，很好用满意，一次需要还买这个牌子。
洗发水,1,是正品哦，而且，非常好用，送的都很精致，都香香的，买了这个，不后悔丫
衣服,1,买大了，175，70公斤，L码的太大了，建议买小号一点，搞活动25元西藏包邮，就不再换了，还不够运费的。
计算机,0,原配的windows驱动盘不错，只是安装无线网卡遇到点麻烦，先用自带光盘上GE780到NE771都没有用。后来上网查找，才知道这款机器用的无线网卡是NE-766。再到网上搜索驱动，下载测试，OK！
平板,1,挺好用的，感觉不错，速度还不错，看看视频够了
洗发水,0,一点都不好，洗了头发干的要死
平板,1,反应迅速，屏幕不错！现在说说别的，给大家参考一下：屏幕细长，比起苹果握感差一点，可能苹果转过来还不习惯；第二，屏幕贴膜赠送挺好，但是你就差贴上这一步？这个太不人性化了，自己贴毕竟赶不上机器的原厂！但是还是给好评！苹果已经抛弃，死贵还不怎么样，支持华为，支持国货！国货当自强啊！顺道说一句，要买青春版的还是推荐这一款，价格虽然便宜，配置和操作性还是差一大截。
衣服,0,这是我买的最差的裤子，前后幅色差严重
水果,0,两箱苹果坏了十四个，一个箱子都破了，只有一箱好些。
书籍,1,我用了两口气，把这本书读完，牺牲了午夜以后的2小时和午睡的一个多小时。对书中职场技巧和感悟，似乎没什么印象，反而是市场部的工作让我充满了好奇。还有，让我这两天一直在思考的一个问题，也就是我都有哪些梦想，显得更加需要思考了。然后，还想，啊，自己年轻的时候怎么不知道北大有这么好，否则使出吃奶的劲也要考上。和米娅比起来，原来我的朋友，女友，这么少。
水果,1,苹果又脆又甜，还比超市和水果店的便宜。
水果,0,火龙果太小了！特意买的大果 ，小的可怜了！菜场7元的也比这个大
平板,0,以后再不买华为了，伤透了心?！
洗发水,1,在京东买过好几次了，很想，跟我以前在超市买的用起来一样，并且超划算，实惠，好评！
洗发水,0,晕了，去超市看了一下结果和超市的价格一样，这也算是做活动呢？
衣服,1,裤子收到了，替朋友买的，朋友说质量非常好，以后会经常光顾的！大赞！
平板,1,运行速度不错 快递小哥给力
洗发水,0,差评，绝对差评，电话也不打，货放哪也不知道，收货人没见货就敢签收
平板,0,送的礼品了？糊弄人了？
水果,1,正宗的烟台红富士，口感甜脆，皮薄好吃，第二次买了，很棒！
水果,1,京东购物最令人感动的就是物流小哥，风雨无阻，没日没夜，为你们点赞！
手机,1,1.铃声优美，音量较大； 2.支持关机闹铃； 3.支持群发短信； 4.按键较大，手感不错 5.屏幕显示效果不错；； 6.支持GPRS和WAP，GPRS 上网速度较快
衣服,1,这款牛仔裤真的很好，物流也快，京东上买东西就是靠谱，这个价位买到真的很不错，很休闲，男朋友很喜欢，我也很喜欢不错不错！
水果,1,苹果很新鲜，个头虽然不大，但是很好吃！老公儿子和妈妈喜欢
衣服,0,裤子怎么看起来和旧的一样啊？没有想象中的好，还特别薄
平板,1,华为平板 真的很不错 信号好 影响也好
酒店,1,"酒店位置稍偏,但不愧是从前的香格里拉,硬件和服务还是不错的,提供的婴儿床很棒,就是上网宽带还要收费,不太符合国际潮流"
水果,0,差评，次日不能到就别bb，虚假！
水果,0,垃圾，收到后隔天就全烂了，一个都没吃上
衣服,1,裤子不错，蛮合身的！舍友说这个质量还可以，宝贝和卖家描述的一致，不比一般的名牌差，推荐大家购买！
水果,1,买来送人当礼物的，朋友说说很大很好吃，而且特别爽口，拿到的时候，特别的新鲜！好评五星赞！
酒店,1,总体上感觉还可以，但也没有什么太突出的地方，因为才过一个月多点，实在也想不起来有什么让人印象深刻点的。
衣服,1,裤子质量很好，棒棒哒，特别是穿到身上的感觉呢。可以说是很帅咯！！！啦啦啦，价格也不错呢，价格和裤子很匹配
书籍,1,我只用四天时间就读完了这本书，这在我读书生活中是很少见的。虽然这本书从出版至今相去九年，但还是觉得新鲜，从中我也学到了很多的东西。比如国家为什么要对农产品实行保护价收购等等。当然有些观点个人认为不一定很正确，经济学家也不是全能全知的上帝。该书文字生动活泼，读起来完全不觉得深奥，是一本真正意义上的大众经济学。书的印刷质量很好，还配了几幅蛮有意思的插图，是一本好书。
手机,1,或许许多人买手机看重的就是多彩的屏幕，而E88是4096色的STN屏幕，这也是最值得争议的地方，目前主流的PPC手机，起码都是65536色的TFT了，熊猫还用STN，有不近人意的地方，但对我来说，这也许是值得高兴的，因为STN屏幕比较省电，耗电问题一直是我比较关心的。而4096色，对于我这样不注重娱乐的人来说，其实也够了，所以这不成为问题。
手机,1,买了它已经一年了，记得当初完全被它美妙的铃声所迷惑，才痛下决心买了个自己不熟悉的牌子。现在用了一年了，却仍没有后悔，若不仔细看，还像新的一样呢。颇大的内屏让我这近视眼受益匪浅，还可关机闹铃，满人性化的。以前老听别人埋怨翻盖机不经碰，我的它曾不幸被我摔到地上好几次，却至今安然无恙。
酒店,1,优点：房间条件简洁、气氛温馨，住宿环境比较安静，价格比较合理，服务态度好；不足：窗户几乎与后面的房顶等高，加上没有防盗窗（网），安全感不高。
洗发水,0,京东发货的人 也太不负责了吧 也不包装下 发货一个星期也没有物流信息 还是催单才有反应 买的这套洗发露有卷梳的 也没有送 收到货物的时候 盒子都破了 真心受不了
平板,1,东西收到了，就是WIFF 怎么连不上？有谁能回答我啊？
衣服,0,很一般很一般很一般
水果,0,好小一个，不喜欢，这个价格有点贵。市场上也就5块一斤
平板,0,觉得不是正品 买回来一直没用 在那放着 前两天拿出来用结果发现照相特别不自然 特别 准备拿去华为售后检修 估计是组装机 现在也退不了 认栽
平板,0,手机套子也没有，分辨率超级底.很差劲........................................
洗发水,1,搞活动买很划算，没用过，买来试试
衣服,1,质量不错 大小合适 面料不错 还可以
酒店,0,酒店实在是太久了 还有味道
平板,1,物美价廉，，很好刚用，在看看
平板,1,货真价实，真品，发货快
洗发水,0,用了头皮痒，大片大片的头屑附在头皮上，不敢用了…以前超市买了都没有出现过这种情况
平板,1,帮同事买的，原来八寸的丢了，重新买一个。
水果,1,口感好，个头是一个人吃的分量。
计算机,1,性价比好，酒红色适合女生用，很拉轰，键盘手感不错，屏也没坏点
